sid,roi,modality,0s,2s,4s,6s,8s,10s
T_475,rHC,ntt,-0.016331925,-0.124150049,-0.338673875,-0.125287509,0.153892763,0.238272633
T_488,rHC,ntt,0.023702667,0.110328173,-0.056084787,-0.067016405,-0.066263036,-0.040780095
T_490,rHC,ntt,-0.014209143,0.067723258,-0.011379229,0.056774593,0.024377794,0.028104873
T_491,rHC,ntt,0.016722988,-0.018228414,-0.045966196,0.017189191,-0.029577791,-0.001265114
T_495,rHC,ntt,0.026601015,-0.160783314,-0.164159955,-0.03173788,-0.264201178,0.001661584
T_507,rHC,ntt,0.051186338,-0.010228038,0.010747676,-0.029328078,0.095000755,-0.014075246
T_513,rHC,ntt,0.057203552,-0.040635575,-0.105465298,-0.080098373,0.024003411,-0.040611433
T_524,rHC,ntt,-0.051014609,-0.154146071,-0.079569187,-0.091041931,-0.013052981,-0.053130415
T_549,rHC,ntt,-0.060916218,-0.064918313,-0.087036412,-0.145993302,-0.115147194,-0.076893579
T_550,rHC,ntt,-0.01176001,-0.071289067,-0.050836157,0.046329286,-0.028170504,-0.068663483
T_554,rHC,ntt,-0.121292149,-0.650435437,-0.358236383,0.011790589,0.086055172,-0.020981684
T_556,rHC,ntt,-0.038793196,-0.153030667,-0.21926088,-0.172092751,-0.109410775,-0.047241396
T_593,rHC,ntt,0.04671757,0.008217002,-0.034369008,0.025327429,0.027473467,0.028407594
T_595,rHC,ntt,0.029435905,0.013503443,0.102905351,0.047389438,0.042786533,-0.009940633
T_603,rHC,ntt,-0.116787152,-0.129144926,-0.166921058,-0.060169375,-0.052394474,-0.121694745
T_614,rHC,ntt,0.02987134,-0.042913426,-0.000118985,0.125397665,0.021939855,-0.034476795
T_624,rHC,ntt,0.027336142,0.058112428,0.00154711,0.043711069,0.065638023,0.154799232
T_629,rHC,ntt,-0.053486807,-0.084636096,-0.045740065,-0.035633806,-0.101497175,-0.101562778
T_642,rHC,ntt,-0.001345918,-0.041153483,0.013299911,0.05504662,0.028085742,0.024115614
T_647,rHC,ntt,-0.064629186,-0.106374095,-0.09355544,-0.056558287,-0.11141466,-0.200211562
T_652,rHC,ntt,-0.038452765,-0.026332608,-0.108428425,-0.158612345,-0.033817037,0.003652306
T_662,rHC,ntt,-0.146891371,-0.042940146,0.175934536,0.073913487,-0.088900015,-0.033678887
T_663,rHC,ntt,-0.077709813,-0.213737065,-0.294919394,-0.205519139,-0.075841985,0.023694565
T_665,rHC,ntt,0.028727892,-0.036107098,-0.111827975,-0.002669823,0.119896895,0.072283893
T_475,rHC,sg,0.026909397,0.087597874,-0.03365223,-0.135005203,-0.104371413,-0.089527108
T_488,rHC,sg,-0.040610998,0.189709438,0.124594982,-0.054949568,-0.149973159,-0.047059264
T_490,rHC,sg,-0.059828434,-0.056307545,-0.019158789,-0.060923595,-0.023381148,-0.029310516
T_491,rHC,sg,-0.073701159,0.029848378,0.054997061,0.002839493,-0.061179202,-0.039841746
T_495,rHC,sg,-0.179601081,-0.069406544,0.076880277,0.022358533,-0.039598197,-0.071020744
T_507,rHC,sg,0.004537569,0.02121933,-0.092738561,-0.094741802,-0.086049422,0.048475116
T_513,rHC,sg,0.117282443,0.134854534,0.055175524,0.03367169,-0.067331268,0.006719902
T_524,rHC,sg,-0.045803037,0.103646757,-0.047221754,-0.10250452,-0.058101004,-0.028340373
T_549,rHC,sg,0.030533492,0.033246488,-0.099882759,-0.18096261,-0.175392717,-0.131053062
T_550,rHC,sg,0.005159026,0.042738105,-0.026320613,-0.043030852,-0.122706248,0.1021437
T_554,rHC,sg,-0.052135029,0.008261151,-0.010535958,-0.181220274,0.034914879,0.180344674
T_556,rHC,sg,0.077466256,0.077016644,-0.022482453,-0.08560296,-0.111249058,0.169376012
T_593,rHC,sg,-0.091371129,0.036213903,-0.244891943,-0.076258773,-0.121925268,-0.071467233
T_595,rHC,sg,0.054140512,0.281295921,0.062328204,-0.097377341,0.078545187,0.215807958
T_603,rHC,sg,-0.053067897,0.18932975,0.105690313,0.017038469,-0.139753286,0.042208892
